,Read Length,Mean Fragment Length,Fragment Length Std. Dev.,Read 2 Slope Normal Mean,Read 2 Slope Normal Std. Dev.
192,200,500,100,1380.92762467049,124.00333928183777
193,200,500,125,1383.0590879250065,144.6817299928586
194,200,500,150,1381.7581052995833,168.5391055624395
195,200,500,175,1389.5669163119587,186.594025048112
196,250,200,25,1078.9362798828156,81.7499438477401
197,250,200,50,1081.6719622491305,84.8839396249106
198,250,200,75,1088.0895806709764,91.05584920892805
199,250,200,100,1097.1026323760361,99.93093915565487
200,250,200,125,1107.3204221884484,109.40914137462448
201,250,200,150,1123.6940493874868,118.98156872062236
202,250,200,175,1136.5002054607467,132.22301276597463
203,250,250,25,1108.3522504533614,92.88300241987338
204,250,250,50,1114.0371303830104,95.13970659251804
205,250,250,75,1120.7979263397376,102.89457811026486
206,250,250,100,1127.80621922247,112.10558989722752
207,250,250,125,1137.6751872026794,123.03465565387992
208,250,250,150,1151.9076810618296,131.54314692608483
209,250,250,175,1160.6928350370285,146.08197173835984
210,250,300,25,1154.0536167126531,97.12008320000535
211,250,300,50,1156.3985392469333,103.18491523458977
212,250,300,75,1160.1695572423446,110.0265916298559
213,250,300,100,1163.6889726091479,121.99816558784391
214,250,300,125,1173.861150276138,132.81159657396157
215,250,300,150,1182.933298192739,145.23926648084964
216,250,300,175,1196.1076646992194,157.45001151377937
217,250,350,25,1203.5782836572396,97.63292399158482
218,250,350,50,1204.2693541193687,105.14584815764776
219,250,350,75,1204.5854510036236,115.4890939471628
220,250,350,100,1209.090513799358,128.66069183934377
221,250,350,125,1212.5125147945716,143.5475535921385
222,250,350,150,1221.384868126096,156.35561717457358
223,250,350,175,1228.8326333873413,173.44127743244152
224,250,400,25,1253.9390630567445,97.1072572383818
225,250,400,50,1254.223781453839,105.10255866301887
226,250,400,75,1254.4731179946766,118.15970650389308
227,250,400,100,1257.2306624910607,130.5217785459656
228,250,400,125,1260.0060231500902,149.25828207549483
229,250,400,150,1263.0524166368782,164.85777598016637
230,250,400,175,1269.5159531013655,181.32496506990105
231,250,450,25,1303.4648571810574,98.21836167476695
232,250,450,50,1304.6090698022233,105.139509926079
233,250,450,75,1305.1651505713285,118.61901776685184
234,250,450,100,1308.4613390478785,133.00568023488765
235,250,450,125,1308.409297035947,148.65185267184938
236,250,450,150,1311.663856847486,171.26840879212455
237,250,450,175,1316.135502061826,184.87992679200883
238,250,500,25,1352.8076992651504,97.94663589706056
239,250,500,50,1353.674631551246,105.20719711944376
240,250,500,75,1354.648509471985,117.6540457487431
241,250,500,100,1358.3504918961564,132.5512957763409
242,250,500,125,1354.7266792073622,151.84049731847162
243,250,500,150,1360.7985467304418,168.56966316415244
244,250,500,175,1363.4791730018626,190.75727697879586
245,300,200,25,1079.29291103803,80.56775071923627
246,300,200,50,1080.3020692000327,85.04473446921763
247,300,200,75,1083.268867895664,91.52829260288642
248,300,200,100,1091.689690280262,99.0341919004112
249,300,200,125,1103.0149198668978,109.22019321917465
250,300,200,150,1116.6008250731527,117.72856891533613
251,300,200,175,1128.3669661858148,128.819635348848
252,300,250,25,1104.2212473763807,96.1404991534282
253,300,250,50,1104.5697267407545,98.940021953356
254,300,250,75,1110.1288251189067,104.04053816656099
255,300,250,100,1118.0098915566816,111.43897454085402
256,300,250,125,1129.2447511442329,121.70817394509045
257,300,250,150,1139.2698427874209,131.31078558111085
258,300,250,175,1153.832271027989,142.22412694610657
259,300,300,25,1132.4277440035225,109.70623643777701
260,300,300,50,1135.3151575972227,111.30521819551944
261,300,300,75,1141.1739378191742,115.55942738881208
262,300,300,100,1148.0919868838585,122.77486477752785
263,300,300,125,1159.5936911960127,133.0946586468103
264,300,300,150,1169.2359283143915,145.30274015712146
265,300,300,175,1180.2412071391914,154.42202274599163
266,300,350,25,1179.5265017358315,113.64930580498232
267,300,350,50,1182.1624952895531,116.34828545808544
268,300,350,75,1184.6467324423904,125.28854466205364
269,300,350,100,1188.99696034827,133.36932602039877
270,300,350,125,1198.0212815928878,142.18344308335952
271,300,350,150,1201.6435585316785,155.4191733599351
